epoch,train_loss,train_acc,val_loss,val_acc
1,2.8796,0.1330,2.8595,0.3834
2,2.8186,0.4946,2.7364,0.4750
3,2.6668,0.4050,2.5881,0.4989
4,2.5046,0.4374,2.4273,0.3981
5,2.3730,0.4278,2.3218,0.4725
6,2.2726,0.4676,2.2294,0.4887
7,2.1865,0.5011,2.1457,0.4864
8,2.1050,0.5167,2.0729,0.5385
9,2.0344,0.5239,2.0065,0.5492
10,1.9663,0.5304,1.9487,0.5230
11,1.9131,0.5250,1.9001,0.5230
12,1.8646,0.5195,1.8635,0.5245
13,1.8211,0.5205,1.8139,0.5096
14,1.7792,0.5190,1.7766,0.5156
15,1.7389,0.5177,1.7446,0.5166
16,1.7110,0.5226,1.7250,0.5310
17,1.6789,0.5239,1.6946,0.5041
18,1.6529,0.5293,1.6670,0.5153
19,1.6199,0.5319,1.6369,0.5392
20,1.6001,0.5403,1.6186,0.5305
21,1.5801,0.5441,1.6059,0.5529
22,1.5528,0.5447,1.5840,0.5367
23,1.5332,0.5515,1.5740,0.5604
24,1.5196,0.5535,1.5582,0.5639
25,1.5044,0.5583,1.5380,0.5601
26,1.4890,0.5582,1.5231,0.5554
27,1.4756,0.5650,1.5113,0.5584
28,1.4572,0.5669,1.4988,0.5529
29,1.4423,0.5699,1.4934,0.5731
30,1.4327,0.5733,1.4838,0.5648
31,1.4073,0.5796,1.4742,0.5616
32,1.4023,0.5768,1.4653,0.5634
33,1.3845,0.5801,1.4560,0.5843
34,1.3778,0.5861,1.4486,0.5850
35,1.3711,0.5877,1.4427,0.5701
36,1.3560,0.5914,1.4360,0.5629
37,1.3467,0.5910,1.4299,0.5756
38,1.3359,0.5941,1.4260,0.5748
39,1.3305,0.5966,1.4177,0.5756
40,1.3165,0.5996,1.4130,0.5970
41,1.3017,0.6030,1.4052,0.5900
42,1.2927,0.6041,1.4046,0.5741
43,1.2863,0.6034,1.3970,0.5980
44,1.2792,0.6088,1.3840,0.5962
45,1.2672,0.6103,1.3897,0.5907
46,1.2615,0.6093,1.3828,0.5992
47,1.2491,0.6147,1.3754,0.5910
48,1.2373,0.6205,1.3784,0.5825
49,1.2344,0.6159,1.3764,0.6069
50,1.2142,0.6185,1.3678,0.6079
51,1.2109,0.6230,1.3624,0.6077
52,1.1995,0.6235,1.3625,0.6009
53,1.1885,0.6305,1.3571,0.5895
54,1.1846,0.6281,1.3483,0.6047
55,1.1759,0.6334,1.3458,0.6037
56,1.1680,0.6269,1.3443,0.6136
57,1.1606,0.6343,1.3437,0.6029
58,1.1473,0.6367,1.3379,0.6131
59,1.1398,0.6369,1.3380,0.6119
60,1.1308,0.6398,1.3353,0.6166
61,1.1241,0.6370,1.3311,0.6189
62,1.1183,0.6418,1.3256,0.6216
63,1.1086,0.6420,1.3266,0.6209
64,1.1054,0.6451,1.3190,0.6276
65,1.0931,0.6458,1.3217,0.6211
66,1.0879,0.6510,1.3201,0.6276
67,1.0780,0.6478,1.3221,0.6251
68,1.0690,0.6540,1.3163,0.6104
69,1.0614,0.6519,1.3116,0.6238
70,1.0531,0.6592,1.3145,0.6151
71,1.0540,0.6539,1.3175,0.6276
72,1.0376,0.6575,1.3152,0.6146
73,1.0328,0.6579,1.3057,0.6328
74,1.0213,0.6643,1.3058,0.6248
75,1.0202,0.6593,1.3093,0.6234
76,1.0105,0.6629,1.3114,0.6460
77,1.0018,0.6661,1.3000,0.6428
78,0.9891,0.6671,1.3074,0.6346
79,0.9879,0.6687,1.3027,0.6375
80,0.9746,0.6727,1.3005,0.6398
81,0.9690,0.6714,1.3042,0.6463
82,0.9554,0.6751,1.3073,0.6423
83,0.9603,0.6762,1.3020,0.6308
84,0.9532,0.6738,1.3060,0.6589
85,0.9366,0.6784,1.3004,0.6510
86,0.9349,0.6813,1.3008,0.6522
87,0.9290,0.6814,1.3003,0.6463
88,0.9157,0.6811,1.2917,0.6323
89,0.9100,0.6841,1.3016,0.6408
90,0.9110,0.6862,1.3000,0.6445
91,0.8980,0.6884,1.2951,0.6418
92,0.8907,0.6865,1.2921,0.6490
93,0.8832,0.6915,1.2951,0.6420
94,0.8775,0.6892,1.2995,0.6480
95,0.8681,0.6927,1.2966,0.6527
96,0.8601,0.6952,1.3041,0.6629
97,0.8564,0.6959,1.2924,0.6555
98,0.8460,0.6989,1.3164,0.6592
99,0.8458,0.6981,1.2943,0.6465
100,0.8384,0.6963,1.3048,0.6475
