epoch,train_loss,train_acc,val_loss,val_acc
1,2.8838,0.0540,2.8716,0.4025
2,2.8115,0.3581,2.7456,0.4414
3,2.6942,0.3580,2.6334,0.4785
4,2.5735,0.3978,2.5098,0.2793
5,2.4679,0.3731,2.4228,0.3831
6,2.3750,0.3962,2.3480,0.3951
7,2.2977,0.4308,2.2652,0.4670
8,2.2257,0.4381,2.2273,0.4725
9,2.1717,0.4634,2.1494,0.4740
10,2.1070,0.4809,2.0904,0.4752
11,2.0503,0.4848,2.0470,0.4317
12,2.0046,0.5001,1.9945,0.4892
13,1.9574,0.5092,1.9574,0.5061
14,1.9133,0.5223,1.9133,0.5019
15,1.8677,0.5262,1.8752,0.5205
16,1.8295,0.5370,1.8384,0.5302
17,1.7950,0.5429,1.8078,0.5494
18,1.7647,0.5445,1.7802,0.5424
19,1.7230,0.5515,1.7485,0.5621
20,1.6951,0.5601,1.7204,0.5265
21,1.6677,0.5654,1.7042,0.5362
22,1.6383,0.5721,1.6827,0.5492
23,1.6122,0.5735,1.6582,0.5668
24,1.5908,0.5737,1.6452,0.5808
25,1.5696,0.5824,1.6256,0.5696
26,1.5554,0.5776,1.5961,0.5512
27,1.5319,0.5884,1.5763,0.5731
28,1.5097,0.5870,1.5733,0.5748
29,1.4955,0.5908,1.5568,0.5873
30,1.4706,0.5912,1.5412,0.5728
31,1.4489,0.5986,1.5193,0.5743
32,1.4359,0.6005,1.5129,0.5917
33,1.4135,0.6036,1.5019,0.5711
34,1.4019,0.6017,1.4904,0.6057
35,1.3970,0.6073,1.4742,0.5721
36,1.3783,0.6083,1.4702,0.5835
37,1.3651,0.6115,1.4570,0.5850
38,1.3501,0.6114,1.4517,0.6084
39,1.3447,0.6129,1.4374,0.5838
40,1.3268,0.6177,1.4324,0.5865
41,1.3094,0.6131,1.4287,0.6134
42,1.2998,0.6193,1.4221,0.6243
43,1.2829,0.6203,1.4140,0.6171
44,1.2787,0.6185,1.4013,0.6077
45,1.2636,0.6235,1.3996,0.6117
46,1.2596,0.6257,1.3860,0.6229
47,1.2418,0.6263,1.3926,0.6164
48,1.2288,0.6287,1.3775,0.6072
49,1.2240,0.6286,1.3885,0.6373
50,1.2034,0.6308,1.3714,0.6169
51,1.2006,0.6342,1.3684,0.6121
52,1.1779,0.6376,1.3649,0.6191
53,1.1738,0.6355,1.3696,0.6042
54,1.1655,0.6400,1.3484,0.6181
55,1.1549,0.6441,1.3531,0.6107
56,1.1484,0.6410,1.3424,0.6283
57,1.1380,0.6470,1.3631,0.6383
58,1.1227,0.6518,1.3507,0.6216
59,1.1152,0.6502,1.3360,0.6383
60,1.1032,0.6559,1.3378,0.6196
61,1.1005,0.6488,1.3362,0.6425
62,1.0904,0.6568,1.3268,0.6380
63,1.0826,0.6621,1.3420,0.6487
64,1.0755,0.6575,1.3305,0.6430
65,1.0621,0.6635,1.3306,0.6450
66,1.0599,0.6648,1.3150,0.6141
67,1.0519,0.6640,1.3283,0.6512
68,1.0403,0.6691,1.3168,0.6243
69,1.0317,0.6707,1.3173,0.6351
70,1.0248,0.6741,1.3071,0.6306
71,1.0246,0.6703,1.3134,0.6545
72,1.0074,0.6767,1.3186,0.6433
73,1.0003,0.6796,1.3173,0.6435
74,0.9874,0.6808,1.3176,0.6515
75,0.9894,0.6797,1.3222,0.6480
76,0.9825,0.6828,1.3184,0.6629
77,0.9723,0.6861,1.3051,0.6654
78,0.9599,0.6890,1.3308,0.6594
79,0.9588,0.6864,1.3124,0.6530
80,0.9455,0.6910,1.3076,0.6517
81,0.9410,0.6909,1.3115,0.6430
82,0.9239,0.6971,1.3255,0.6682
83,0.9300,0.6928,1.3019,0.6527
84,0.9217,0.6953,1.3191,0.6756
85,0.9091,0.6950,1.3120,0.6711
86,0.9089,0.7010,1.3051,0.6731
87,0.9066,0.7001,1.3111,0.6741
88,0.8957,0.7031,1.2934,0.6438
89,0.8844,0.7027,1.3144,0.6721
90,0.8836,0.7070,1.3050,0.6614
91,0.8749,0.7081,1.3025,0.6637
92,0.8684,0.7068,1.3105,0.6724
93,0.8613,0.7123,1.3074,0.6754
94,0.8595,0.7104,1.3136,0.6667
95,0.8474,0.7147,1.3236,0.6726
96,0.8418,0.7130,1.3362,0.6928
97,0.8396,0.7146,1.3179,0.6858
98,0.8276,0.7199,1.3179,0.6769
99,0.8280,0.7164,1.3107,0.6702
100,0.8193,0.7173,1.3147,0.6694
