epoch,train_loss,train_acc,val_loss,val_acc
1,2.8573,0.3073,2.8109,0.4640
2,2.6844,0.4219,2.5596,0.4660
3,2.5030,0.4024,2.4362,0.4625
4,2.3907,0.4333,2.3189,0.4441
5,2.2673,0.4502,2.2232,0.4600
6,2.1684,0.4522,2.1338,0.4757
7,2.0987,0.4737,2.0693,0.4665
8,2.0304,0.4713,2.0099,0.4927
9,1.9688,0.4934,1.9608,0.5061
10,1.9048,0.4965,1.9085,0.4969
11,1.8542,0.5046,1.8548,0.5041
12,1.8089,0.5036,1.8152,0.5163
13,1.7658,0.5131,1.7784,0.5031
14,1.7252,0.5184,1.7413,0.5178
15,1.6842,0.5244,1.7073,0.5136
16,1.6548,0.5327,1.6984,0.5479
17,1.6308,0.5340,1.6659,0.5240
18,1.6000,0.5410,1.6390,0.5534
19,1.5708,0.5491,1.6126,0.5576
20,1.5519,0.5527,1.5929,0.5581
21,1.5305,0.5601,1.5762,0.5611
22,1.5044,0.5628,1.5682,0.5539
23,1.4880,0.5702,1.5504,0.5808
24,1.4699,0.5700,1.5476,0.5681
25,1.4549,0.5773,1.5275,0.5790
26,1.4420,0.5811,1.5134,0.5713
27,1.4300,0.5863,1.5010,0.5748
28,1.4141,0.5846,1.5035,0.5691
29,1.3991,0.5875,1.4982,0.5840
30,1.3857,0.5885,1.4860,0.5733
31,1.3658,0.5976,1.4813,0.5798
32,1.3553,0.5955,1.4797,0.5793
33,1.3401,0.6012,1.4631,0.5920
34,1.3336,0.6034,1.4692,0.5947
35,1.3308,0.6063,1.4562,0.5848
36,1.3138,0.6062,1.4572,0.5693
37,1.3031,0.6067,1.4545,0.5910
38,1.2956,0.6103,1.4365,0.6004
39,1.2891,0.6164,1.4476,0.5880
40,1.2761,0.6128,1.4518,0.6052
41,1.2643,0.6138,1.4412,0.6022
42,1.2528,0.6183,1.4500,0.6054
43,1.2524,0.6187,1.4412,0.6109
44,1.2425,0.6175,1.4358,0.6072
45,1.2327,0.6204,1.4424,0.6044
46,1.2284,0.6222,1.4237,0.6064
47,1.2166,0.6233,1.4380,0.5813
48,1.2033,0.6284,1.4320,0.6027
49,1.2074,0.6253,1.4290,0.6124
50,1.1869,0.6195,1.4255,0.6134
51,1.1808,0.6296,1.4263,0.6176
52,1.1734,0.6300,1.4208,0.6164
53,1.1638,0.6333,1.4189,0.6124
54,1.1601,0.6321,1.4096,0.6024
55,1.1554,0.6358,1.4133,0.6009
56,1.1490,0.6306,1.4136,0.6204
57,1.1392,0.6397,1.4182,0.6074
58,1.1261,0.6383,1.4177,0.6102
59,1.1211,0.6408,1.4088,0.6121
60,1.1130,0.6435,1.4131,0.6141
61,1.1162,0.6382,1.4160,0.6134
62,1.1048,0.6445,1.4125,0.6049
63,1.1026,0.6448,1.4192,0.6191
64,1.0936,0.6449,1.4089,0.6253
65,1.0851,0.6466,1.4096,0.6234
66,1.0801,0.6512,1.4064,0.6156
67,1.0708,0.6473,1.4139,0.6293
68,1.0625,0.6524,1.4093,0.6121
69,1.0568,0.6548,1.4058,0.6169
70,1.0543,0.6564,1.4030,0.6097
71,1.0520,0.6530,1.4108,0.6256
72,1.0414,0.6581,1.4138,0.6159
73,1.0364,0.6583,1.4079,0.6201
74,1.0262,0.6620,1.3998,0.6214
75,1.0240,0.6605,1.4107,0.6301
76,1.0163,0.6643,1.4116,0.6430
77,1.0118,0.6677,1.4037,0.6388
78,0.9998,0.6692,1.3996,0.6293
79,0.9977,0.6633,1.4150,0.6323
80,0.9884,0.6686,1.4085,0.6318
81,0.9885,0.6682,1.4192,0.6291
82,0.9721,0.6716,1.4174,0.6418
83,0.9815,0.6729,1.4160,0.6333
84,0.9743,0.6719,1.4136,0.6535
85,0.9596,0.6719,1.4049,0.6410
86,0.9617,0.6778,1.4027,0.6418
87,0.9516,0.6775,1.4061,0.6403
88,0.9425,0.6778,1.3970,0.6216
89,0.9392,0.6813,1.4107,0.6388
90,0.9400,0.6835,1.4046,0.6383
91,0.9301,0.6846,1.4150,0.6363
92,0.9254,0.6831,1.4103,0.6380
93,0.9133,0.6834,1.4022,0.6410
94,0.9137,0.6856,1.4179,0.6505
95,0.9067,0.6915,1.4145,0.6490
96,0.8984,0.6864,1.4142,0.6535
97,0.8934,0.6932,1.4196,0.6535
98,0.8894,0.6921,1.4292,0.6612
99,0.8864,0.6921,1.4100,0.6497
100,0.8792,0.6905,1.4223,0.6328
