epoch,train_loss,train_acc,val_loss,val_acc
1,2.0374,0.4360,1.6761,0.4817
2,1.5733,0.5376,1.4572,0.5900
3,1.3543,0.6183,1.2647,0.6244
4,1.1820,0.6584,1.1345,0.6730
5,1.0878,0.6914,1.0606,0.6922
6,1.0232,0.7050,1.0126,0.7044
7,0.9723,0.7132,0.9677,0.7148
8,0.9304,0.7263,0.9394,0.7176
9,0.8924,0.7353,0.8990,0.7335
10,0.8561,0.7484,0.8652,0.7385
11,0.8250,0.7574,0.8443,0.7494
12,0.8042,0.7632,0.8202,0.7499
13,0.7785,0.7707,0.8124,0.7522
14,0.7569,0.7756,0.7843,0.7626
15,0.7330,0.7822,0.7662,0.7694
16,0.7134,0.7911,0.7526,0.7726
17,0.6933,0.7949,0.7271,0.7798
18,0.6744,0.8011,0.7122,0.7856
19,0.6501,0.8053,0.7025,0.7900
20,0.6336,0.8077,0.6833,0.7940
21,0.6147,0.8149,0.6775,0.7943
22,0.6012,0.8183,0.6584,0.8012
23,0.5793,0.8246,0.6465,0.8005
24,0.5643,0.8282,0.6369,0.8055
25,0.5497,0.8316,0.6306,0.8062
26,0.5377,0.8332,0.6317,0.8020
27,0.5241,0.8356,0.6191,0.8060
28,0.5075,0.8418,0.6186,0.8082
29,0.4974,0.8447,0.6136,0.8085
30,0.4842,0.8481,0.6004,0.8142
31,0.4721,0.8521,0.6055,0.8144
32,0.4598,0.8541,0.5938,0.8179
33,0.4474,0.8593,0.5904,0.8149
34,0.4379,0.8617,0.5916,0.8174
35,0.4300,0.8637,0.6008,0.8194
36,0.4187,0.8658,0.5901,0.8172
37,0.4124,0.8687,0.5877,0.8197
38,0.3939,0.8765,0.5816,0.8237
39,0.3864,0.8792,0.5850,0.8242
40,0.3790,0.8790,0.5929,0.8224
41,0.3697,0.8837,0.5874,0.8264
42,0.3588,0.8878,0.5866,0.8232
43,0.3477,0.8903,0.5878,0.8212
44,0.3381,0.8938,0.5870,0.8224
45,0.3311,0.8971,0.5983,0.8222
46,0.3226,0.8978,0.6015,0.8229
47,0.3175,0.8987,0.6018,0.8207
48,0.3084,0.9037,0.5998,0.8234
49,0.3001,0.9050,0.5991,0.8247
50,0.2917,0.9096,0.6010,0.8219
51,0.2826,0.9136,0.6008,0.8217
52,0.2745,0.9146,0.6034,0.8207
53,0.2672,0.9166,0.6061,0.8207
54,0.2608,0.9197,0.6172,0.8202
55,0.2508,0.9204,0.6177,0.8232
56,0.2448,0.9243,0.6171,0.8202
57,0.2406,0.9242,0.6255,0.8199
58,0.2330,0.9280,0.6269,0.8202
59,0.2279,0.9294,0.6348,0.8204
60,0.2206,0.9314,0.6406,0.8182
61,0.2157,0.9321,0.6383,0.8157
62,0.2079,0.9353,0.6421,0.8154
63,0.2023,0.9366,0.6477,0.8157
64,0.1947,0.9391,0.6566,0.8162
65,0.1904,0.9410,0.6643,0.8177
66,0.1846,0.9414,0.6784,0.8144
67,0.1797,0.9436,0.6699,0.8142
68,0.1754,0.9443,0.6931,0.8137
69,0.1719,0.9451,0.6850,0.8095
70,0.1663,0.9476,0.6956,0.8154
71,0.1606,0.9479,0.7055,0.8137
72,0.1574,0.9490,0.7013,0.8149
73,0.1539,0.9504,0.7116,0.8122
74,0.1491,0.9517,0.7282,0.8167
75,0.1471,0.9519,0.7203,0.8130
76,0.1429,0.9529,0.7227,0.8112
77,0.1379,0.9551,0.7298,0.8087
78,0.1348,0.9554,0.7371,0.8095
79,0.1335,0.9555,0.7411,0.8142
80,0.1291,0.9577,0.7624,0.8070
81,0.1268,0.9578,0.7586,0.8090
82,0.1225,0.9588,0.7673,0.8142
83,0.1215,0.9585,0.7676,0.8095
84,0.1190,0.9593,0.7718,0.8149
85,0.1163,0.9596,0.7908,0.8095
86,0.1132,0.9601,0.7824,0.8050
87,0.1130,0.9603,0.7888,0.8097
88,0.1083,0.9626,0.7908,0.8092
89,0.1056,0.9623,0.7964,0.8122
90,0.1038,0.9628,0.8112,0.8072
91,0.1010,0.9638,0.8196,0.8055
92,0.1020,0.9633,0.8221,0.8085
93,0.0986,0.9648,0.8286,0.8052
94,0.0967,0.9638,0.8260,0.8102
95,0.0969,0.9648,0.8294,0.8050
96,0.0950,0.9654,0.8433,0.8052
97,0.0933,0.9656,0.8481,0.8025
98,0.0910,0.9654,0.8439,0.8052
99,0.0906,0.9660,0.8495,0.8027
100,0.0892,0.9655,0.8579,0.8077
