epoch,train_loss,train_acc,val_loss,val_acc
1,2.0905,0.4218,1.6907,0.4725
2,1.6157,0.5280,1.5351,0.5574
3,1.4341,0.6050,1.3394,0.6296
4,1.2903,0.6343,1.2207,0.6538
5,1.1916,0.6548,1.1451,0.6685
6,1.1128,0.6741,1.0582,0.6994
7,1.0449,0.6932,1.0015,0.7240
8,0.9924,0.7081,0.9595,0.7278
9,0.9395,0.7263,0.9206,0.7395
10,0.9009,0.7354,0.8883,0.7457
11,0.8648,0.7443,0.8584,0.7554
12,0.8378,0.7509,0.8391,0.7557
13,0.8132,0.7573,0.8144,0.7616
14,0.7856,0.7642,0.7980,0.7654
15,0.7646,0.7717,0.7770,0.7748
16,0.7414,0.7782,0.7690,0.7746
17,0.7229,0.7813,0.7572,0.7803
18,0.7060,0.7853,0.7339,0.7888
19,0.6865,0.7936,0.7178,0.7870
20,0.6659,0.7992,0.7156,0.7933
21,0.6557,0.7995,0.7121,0.7918
22,0.6387,0.8048,0.6896,0.7973
23,0.6207,0.8103,0.6779,0.7973
24,0.6068,0.8131,0.6623,0.8032
25,0.5940,0.8169,0.6660,0.8012
26,0.5802,0.8216,0.6585,0.8020
27,0.5685,0.8220,0.6468,0.8067
28,0.5555,0.8263,0.6466,0.8060
29,0.5446,0.8286,0.6231,0.8115
30,0.5342,0.8296,0.6423,0.8067
31,0.5215,0.8360,0.6234,0.8125
32,0.5110,0.8392,0.6182,0.8082
33,0.4957,0.8446,0.6134,0.8137
34,0.4869,0.8461,0.6103,0.8142
35,0.4762,0.8480,0.6048,0.8105
36,0.4683,0.8500,0.6084,0.8137
37,0.4601,0.8540,0.6020,0.8164
38,0.4481,0.8573,0.6075,0.8184
39,0.4400,0.8603,0.5956,0.8227
40,0.4311,0.8628,0.5928,0.8202
41,0.4215,0.8651,0.5949,0.8209
42,0.4108,0.8680,0.6050,0.8144
43,0.4150,0.8686,0.5917,0.8189
44,0.4000,0.8716,0.5889,0.8222
45,0.3929,0.8733,0.5866,0.8296
46,0.3768,0.8798,0.5919,0.8234
47,0.3743,0.8804,0.5958,0.8222
48,0.3615,0.8847,0.5921,0.8244
49,0.3549,0.8862,0.5994,0.8219
50,0.3453,0.8903,0.5944,0.8284
51,0.3370,0.8936,0.5908,0.8291
52,0.3305,0.8953,0.6050,0.8262
53,0.3225,0.8981,0.5962,0.8311
54,0.3139,0.9015,0.6014,0.8244
55,0.3092,0.9028,0.5998,0.8254
56,0.3049,0.9045,0.6137,0.8162
57,0.2983,0.9053,0.6011,0.8249
58,0.2881,0.9097,0.6257,0.8229
59,0.2837,0.9101,0.5968,0.8271
60,0.2808,0.9120,0.6091,0.8291
61,0.2761,0.9113,0.6149,0.8264
62,0.2653,0.9153,0.6099,0.8224
63,0.2575,0.9187,0.6166,0.8234
64,0.2518,0.9212,0.6214,0.8294
65,0.2473,0.9247,0.6191,0.8289
66,0.2444,0.9222,0.6362,0.8222
67,0.2356,0.9271,0.6183,0.8257
68,0.2302,0.9283,0.6394,0.8242
69,0.2243,0.9303,0.6459,0.8239
70,0.2227,0.9301,0.6375,0.8242
71,0.2155,0.9330,0.6354,0.8274
72,0.2117,0.9321,0.6463,0.8242
73,0.2106,0.9344,0.6442,0.8224
74,0.2080,0.9341,0.6527,0.8232
75,0.2046,0.9367,0.6507,0.8224
76,0.1968,0.9382,0.6612,0.8229
77,0.1898,0.9403,0.6606,0.8222
78,0.1851,0.9418,0.6629,0.8257
79,0.1825,0.9430,0.6850,0.8219
80,0.1781,0.9430,0.6738,0.8232
81,0.1762,0.9451,0.6922,0.8132
82,0.1745,0.9450,0.6821,0.8219
83,0.1690,0.9453,0.6858,0.8224
84,0.1654,0.9469,0.6992,0.8222
85,0.1611,0.9486,0.7020,0.8192
86,0.1603,0.9492,0.6984,0.8217
87,0.1562,0.9494,0.7086,0.8174
88,0.1517,0.9503,0.7128,0.8232
89,0.1538,0.9505,0.7104,0.8209
90,0.1490,0.9513,0.7138,0.8197
91,0.1432,0.9530,0.7242,0.8224
92,0.1416,0.9537,0.7220,0.8219
93,0.1382,0.9529,0.7434,0.8204
94,0.1364,0.9553,0.7325,0.8179
95,0.1347,0.9552,0.7388,0.8184
96,0.1304,0.9563,0.7458,0.8209
97,0.1308,0.9555,0.7603,0.8159
98,0.1267,0.9569,0.7599,0.8132
99,0.1244,0.9577,0.7677,0.8174
100,0.1260,0.9574,0.7530,0.8115
